"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/home/kkkzoz/Projects/codecrafters-redis-rust/Cargo.lock", "TOML", 573, 0, 0, 78, 651
"/home/kkkzoz/Projects/codecrafters-redis-rust/Cargo.toml", "TOML", 33, 0, 0, 5, 38
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/client.rs", "Rust", 0, 3, 0, 1, 4
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/command.rs", "Rust", 0, 77, 1, 8, 86
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/data_item.rs", "Rust", 0, 18, 0, 3, 21
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/lib.rs", "Rust", 0, 5, 0, 1, 6
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/main.rs", "Rust", 0, 66, 0, 15, 81
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/redis_store.rs", "Rust", 0, 198, 4, 31, 233
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/redis_store/connection.rs", "Rust", 0, 106, 0, 18, 124
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/storage.rs", "Rust", 0, 6, 0, 4, 10
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/storage/in_memory_storage.rs", "Rust", 0, 22, 0, 6, 28
"/home/kkkzoz/Projects/codecrafters-redis-rust/src/util.rs", "Rust", 0, 12, 0, 1, 13
"Total", "-", 606, 513, 5, 171, 1295
